symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsx05","2005-04-11T00:00:00-05:00","2005-04-11","605","612.5","603","612.5","8182","51346"
"zsx05","2005-04-12T00:00:00-05:00","2005-04-12","614","618.25","608.25","608.25","8228","51737"
"zsx05","2005-04-13T00:00:00-05:00","2005-04-13","607.5","610","601.25","610","8131","51418"
"zsx05","2005-04-14T00:00:00-05:00","2005-04-14","609","612.5","606","606","6035","51803"
"zsx05","2005-04-15T00:00:00-05:00","2005-04-15","603.25","605","601.75","603","4743","50978"
"zsx05","2005-04-18T00:00:00-05:00","2005-04-18","599.25","603.75","596.5","603.75","7657","52540"
"zsx05","2005-04-19T00:00:00-05:00","2005-04-19","603","629","603","629","13955","53139"
"zsx05","2005-04-20T00:00:00-05:00","2005-04-20","629","635","626.25","626.25","8759","54743"
"zsx05","2005-04-21T00:00:00-05:00","2005-04-21","626.5","631.5","623","631.5","5778","55609"
"zsx05","2005-04-22T00:00:00-05:00","2005-04-22","631.25","634.5","628","628","4962","55438"
"zsx05","2005-04-25T00:00:00-05:00","2005-04-25","629.5","639.5","629.5","629.75","9630","56787"
"zsx05","2005-04-26T00:00:00-05:00","2005-04-26","629.75","633.25","628","630.75","5405","57100"
"zsx05","2005-04-27T00:00:00-05:00","2005-04-27","631","634","623.5","623.5","7929","57198"
"zsx05","2005-04-28T00:00:00-05:00","2005-04-28","625","633","619.75","619.75","11300","57871"
"zsx05","2005-04-29T00:00:00-05:00","2005-04-29","619","621","618.25","621","10434","58682"
"zsx05","2005-05-02T00:00:00-05:00","2005-05-02","620","622","612.75","622","10498","60064"
"zsx05","2005-05-03T00:00:00-05:00","2005-05-03","622.5","626","619.25","619.25","8211","60168"
"zsx05","2005-05-04T00:00:00-05:00","2005-05-04","618","621.25","615.75","615.75","6867","60589"
"zsx05","2005-05-05T00:00:00-05:00","2005-05-05","617","619.75","615.75","616.75","7529","61004"
"zsx05","2005-05-06T00:00:00-05:00","2005-05-06","616","625","616","625","10367","62212"
"zsx05","2005-05-09T00:00:00-05:00","2005-05-09","624","630","623.25","627.5","14174","63104"
"zsx05","2005-05-10T00:00:00-05:00","2005-05-10","629","631.75","627.75","629","12704","62504"
"zsx05","2005-05-11T00:00:00-05:00","2005-05-11","628.25","630","626","627.5","7803","62062"
"zsx05","2005-05-12T00:00:00-05:00","2005-05-12","625.75","630","619.5","619.5","15743","61366"
"zsx05","2005-05-13T00:00:00-05:00","2005-05-13","619","621.5","609","609","16885","60691"
"zsx05","2005-05-16T00:00:00-05:00","2005-05-16","609","618.25","608","618.25","11116","60377"
"zsx05","2005-05-17T00:00:00-05:00","2005-05-17","619","621","613.5","617.5","7306","60682"
"zsx05","2005-05-18T00:00:00-05:00","2005-05-18","618","630.25","615","630.25","17996","62369"
"zsx05","2005-05-19T00:00:00-05:00","2005-05-19","630.25","636","626","626","11268","62996"
"zsx05","2005-05-20T00:00:00-05:00","2005-05-20","625.25","631","625.25","630","10877","64629"
"zsx05","2005-05-23T00:00:00-05:00","2005-05-23","634","643.25","634","638","17690","67274"
"zsx05","2005-05-24T00:00:00-05:00","2005-05-24","637","646","635.25","646","18618","70112"
"zsx05","2005-05-25T00:00:00-05:00","2005-05-25","645.75","665.5","645.5","665.5","27566","74830"
"zsx05","2005-05-26T00:00:00-05:00","2005-05-26","663.5","676.5","661.75","676.5","23215","76637"
"zsx05","2005-05-27T00:00:00-05:00","2005-05-27","675","682","668","668","17757","77695"
"zsx05","2005-05-31T00:00:00-05:00","2005-05-31","681.5","688","680","682","24585","81644"
"zsx05","2005-06-01T00:00:00-05:00","2005-06-01","678.75","689.75","675.5","689.75","29527","86910"
"zsx05","2005-06-02T00:00:00-05:00","2005-06-02","686","687","672.5","672.5","24970","88891"
"zsx05","2005-06-03T00:00:00-05:00","2005-06-03","669.25","680","668.25","680","19810","91923"
"zsx05","2005-06-06T00:00:00-05:00","2005-06-06","695","699.5","686","686","28730","93601"
"zsx05","2005-06-07T00:00:00-05:00","2005-06-07","683.75","691.5","680.25","685.5","24218","98891"
"zsx05","2005-06-08T00:00:00-05:00","2005-06-08","681.75","683","678","678","26996","104649"
"zsx05","2005-06-09T00:00:00-05:00","2005-06-09","668.25","684.25","668","684.25","29107","108778"
"zsx05","2005-06-10T00:00:00-05:00","2005-06-10","684","690.5","678","678","29887","115109"
"zsx05","2005-06-13T00:00:00-05:00","2005-06-13","686.25","694.5","682","694.5","36658","124774"
"zsx05","2005-06-14T00:00:00-05:00","2005-06-14","691","704.75","688","704.75","39535","134567"
"zsx05","2005-06-15T00:00:00-05:00","2005-06-15","707","720.75","703.25","720.75","71859","141947"
"zsx05","2005-06-16T00:00:00-05:00","2005-06-16","720","730","719","720.5","66621","154207"
"zsx05","2005-06-17T00:00:00-05:00","2005-06-17","718","741.5","717.5","741.5","70675","166348"
"zsx05","2005-06-20T00:00:00-05:00","2005-06-20","759.5","770","757.5","757.5","80087","170888"
"zsx05","2005-06-21T00:00:00-05:00","2005-06-21","755.5","758.75","746","753","72692","176459"
"zsx05","2005-06-22T00:00:00-05:00","2005-06-22","760.5","775","754","754","65045","181586"
"zsx05","2005-06-23T00:00:00-05:00","2005-06-23","754","762","745.5","745.5","66601","190905"
"zsx05","2005-06-24T00:00:00-05:00","2005-06-24","747.25","765.75","747.25","765.75","66464","199919"
"zsx05","2005-06-27T00:00:00-05:00","2005-06-27","775","775","715.75","715.75","80753","197586"
"zsx05","2005-06-28T00:00:00-05:00","2005-06-28","715.75","722","686","686","104638","196530"
"zsx05","2005-06-29T00:00:00-05:00","2005-06-29","691.25","696","689","689","64326","192335"
"zsx05","2005-06-30T00:00:00-05:00","2005-06-30","689","696.25","666.25","666.25","74106","187276"
"zsx05","2005-07-01T00:00:00-05:00","2005-07-01","671.5","686","671.5","686","46528","185811"
"zsx05","2005-07-05T00:00:00-05:00","2005-07-05","690","728","688","728","66727","186562"
"zsx05","2005-07-06T00:00:00-05:00","2005-07-06","728.5","734","709.5","709.5","47915","186283"
"zsx05","2005-07-07T00:00:00-05:00","2005-07-07","713.75","721.25","677","707.5","56485","185920"
"zsx05","2005-07-08T00:00:00-05:00","2005-07-08","700","701","688","688","55104","182476"
"zsx05","2005-07-11T00:00:00-05:00","2005-07-11","672.25","701.5","668","701.5","49537","184097"
"zsx05","2005-07-12T00:00:00-05:00","2005-07-12","704.5","712.5","697.5","712.5","51430","185445"
"zsx05","2005-07-13T00:00:00-05:00","2005-07-13","712","725","702","725","49218","188061"
"zsx05","2005-07-14T00:00:00-05:00","2005-07-14","723","732.75","721.25","731","62944","191573"
"zsx05","2005-07-15T00:00:00-05:00","2005-07-15","727.5","738","722.5","731.5","41279","191365"
"zsx05","2005-07-18T00:00:00-05:00","2005-07-18","745","748.75","725","727.75","48400","191358"
"zsx05","2005-07-19T00:00:00-05:00","2005-07-19","722","731","691","691","77443","186702"
"zsx05","2005-07-20T00:00:00-05:00","2005-07-20","692","694.5","678.5","694.5","58793","189110"
"zsx05","2005-07-21T00:00:00-05:00","2005-07-21","696.25","698.5","679.5","679.5","57988","183729"
