symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsx00","2000-04-10T00:00:00-05:00","2000-04-10","558.75","558.75","553.5","556.75","0","0"
"zsx00","2000-04-11T00:00:00-05:00","2000-04-11","556.5","559","551","551.5","0","0"
"zsx00","2000-04-12T00:00:00-05:00","2000-04-12","550.5","562","549","561.5","0","0"
"zsx00","2000-04-13T00:00:00-05:00","2000-04-13","561.5","565.5","559","562.75","0","0"
"zsx00","2000-04-14T00:00:00-05:00","2000-04-14","570.25","574","557","557.75","0","0"
"zsx00","2000-04-17T00:00:00-05:00","2000-04-17","553.5","560.5","552.5","556.75","0","0"
"zsx00","2000-04-18T00:00:00-05:00","2000-04-18","556.5","561","555.5","560","0","0"
"zsx00","2000-04-19T00:00:00-05:00","2000-04-19","560.5","564.5","559.25","563.75","0","0"
"zsx00","2000-04-20T00:00:00-05:00","2000-04-20","564","565","555","561.5","0","0"
"zsx00","2000-04-24T00:00:00-05:00","2000-04-24","561.5","570","557.5","569","0","0"
"zsx00","2000-04-25T00:00:00-05:00","2000-04-25","569.25","573","566","569","0","0"
"zsx00","2000-04-26T00:00:00-05:00","2000-04-26","568.5","573.5","565.25","565.75","0","0"
"zsx00","2000-04-27T00:00:00-05:00","2000-04-27","564.5","566.25","556","557","0","0"
"zsx00","2000-04-28T00:00:00-05:00","2000-04-28","556","558.75","546.5","551.5","0","0"
"zsx00","2000-05-01T00:00:00-05:00","2000-05-01","561","581.5","559.5","579.5","0","0"
"zsx00","2000-05-02T00:00:00-05:00","2000-05-02","579","585.5","575.25","576.75","0","0"
"zsx00","2000-05-03T00:00:00-05:00","2000-05-03","575.5","594.5","575.25","584","0","0"
"zsx00","2000-05-04T00:00:00-05:00","2000-05-04","584","590","577.5","583.25","0","0"
"zsx00","2000-05-05T00:00:00-05:00","2000-05-05","581.5","585","574.25","577.5","0","0"
"zsx00","2000-05-08T00:00:00-05:00","2000-05-08","579","583.25","565.5","569.75","0","0"
"zsx00","2000-05-09T00:00:00-05:00","2000-05-09","568","570","565.25","567","0","0"
"zsx00","2000-05-10T00:00:00-05:00","2000-05-10","567.25","584.5","567.25","582.25","0","0"
"zsx00","2000-05-11T00:00:00-05:00","2000-05-11","581","584","576","581.5","0","0"
"zsx00","2000-05-12T00:00:00-05:00","2000-05-12","580.25","580.5","572.5","579.75","0","0"
"zsx00","2000-05-15T00:00:00-05:00","2000-05-15","574.25","574.25","550.5","563.5","0","0"
"zsx00","2000-05-16T00:00:00-05:00","2000-05-16","563.5","565.5","555","557","0","0"
"zsx00","2000-05-17T00:00:00-05:00","2000-05-17","556.5","559","549","553","0","0"
"zsx00","2000-05-18T00:00:00-05:00","2000-05-18","556.5","572.5","555","560.25","0","0"
"zsx00","2000-05-19T00:00:00-05:00","2000-05-19","560.25","566.25","558","564.75","0","0"
"zsx00","2000-05-22T00:00:00-05:00","2000-05-22","560","570.5","557.75","563.75","0","0"
"zsx00","2000-05-23T00:00:00-05:00","2000-05-23","563.5","566","559","559.75","0","0"
"zsx00","2000-05-24T00:00:00-05:00","2000-05-24","559","559","549.5","552","0","0"
"zsx00","2000-05-25T00:00:00-05:00","2000-05-25","551","553","532.5","535.75","0","0"
"zsx00","2000-05-26T00:00:00-05:00","2000-05-26","536","543","535.25","542.5","0","0"
"zsx00","2000-05-30T00:00:00-05:00","2000-05-30","533","533","519.25","524","0","0"
"zsx00","2000-05-31T00:00:00-05:00","2000-05-31","525","528","523.5","525.5","0","0"
"zsx00","2000-06-01T00:00:00-05:00","2000-06-01","531","534.5","530","531","0","0"
"zsx00","2000-06-02T00:00:00-05:00","2000-06-02","531.25","543","527.5","542.5","0","0"
"zsx00","2000-06-05T00:00:00-05:00","2000-06-05","546.75","552","536.5","539","0","0"
"zsx00","2000-06-06T00:00:00-05:00","2000-06-06","537.5","542.5","532","542","0","0"
"zsx00","2000-06-07T00:00:00-05:00","2000-06-07","546","546","528","532.5","0","0"
