symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zch08","2007-09-10T00:00:00-05:00","2007-09-10","363.5","370","359.25","363","10757","138712"
"zch08","2007-09-11T00:00:00-05:00","2007-09-11","362.75","363.5","355.25","357.75","24558","143848"
"zch08","2007-09-12T00:00:00-05:00","2007-09-12","357.25","375","355.25","373","35417","142914"
"zch08","2007-09-13T00:00:00-05:00","2007-09-13","372.25","375","360.5","363.75","23382","145058"
"zch08","2007-09-14T00:00:00-05:00","2007-09-14","363","371","362","366","13530","146139"
"zch08","2007-09-17T00:00:00-05:00","2007-09-17","365","371","364.5","369","10405","147498"
"zch08","2007-09-18T00:00:00-05:00","2007-09-18","368","371","361.25","369","22843","152842"
"zch08","2007-09-19T00:00:00-05:00","2007-09-19","368.5","375","364","374.75","21258","151753"
"zch08","2007-09-20T00:00:00-05:00","2007-09-20","372.5","391","372.5","385.25","38207","153698"
"zch08","2007-09-21T00:00:00-05:00","2007-09-21","385","392.75","384","392","22186","155760"
"zch08","2007-09-24T00:00:00-05:00","2007-09-24","390","395.75","386.25","389","28965","157261"
"zch08","2007-09-25T00:00:00-05:00","2007-09-25","388","390.5","386.25","387.25","23202","158770"
"zch08","2007-09-26T00:00:00-05:00","2007-09-26","386.5","391.5","384","390.75","23765","159547"
"zch08","2007-09-27T00:00:00-05:00","2007-09-27","390.75","404.75","390","402.25","39313","160398"
"zch08","2007-09-28T00:00:00-05:00","2007-09-28","402","403","386.25","389.25","35640","161348"
"zch08","2007-10-01T00:00:00-05:00","2007-10-01","389","393","384.5","385.5","23408","166575"
"zch08","2007-10-02T00:00:00-05:00","2007-10-02","384.25","385.25","365.5","365.5","30988","170072"
"zch08","2007-10-03T00:00:00-05:00","2007-10-03","364","368.25","359","361","30444","170597"
"zch08","2007-10-04T00:00:00-05:00","2007-10-04","362","366.25","357.5","359","17972","171364"
"zch08","2007-10-05T00:00:00-05:00","2007-10-05","358.5","360.25","356","359","14938","173632"
"zch08","2007-10-08T00:00:00-05:00","2007-10-08","358.25","359","352","356.25","17453","175028"
"zch08","2007-10-09T00:00:00-05:00","2007-10-09","356","365","354.75","359.5","22826","175720"
"zch08","2007-10-10T00:00:00-05:00","2007-10-10","359.5","365","359.5","364.25","12789","177266"
"zch08","2007-10-11T00:00:00-05:00","2007-10-11","364","366","358","360.75","19543","179300"
"zch08","2007-10-12T00:00:00-05:00","2007-10-12","359.75","374.5","357.5","367.75","33859","187257"
"zch08","2007-10-15T00:00:00-05:00","2007-10-15","367","378.75","367","378.25","22693","188624"
"zch08","2007-10-16T00:00:00-05:00","2007-10-16","377.5","378.5","371.5","377.25","22403","191844"
"zch08","2007-10-17T00:00:00-05:00","2007-10-17","376.75","377.5","372.25","374.5","23249","191927"
"zch08","2007-10-18T00:00:00-05:00","2007-10-18","373.75","383.75","373.5","383.5","21256","195051"
"zch08","2007-10-19T00:00:00-05:00","2007-10-19","382.75","387","380.25","386","36302","201309"
"zch08","2007-10-22T00:00:00-05:00","2007-10-22","384.25","384.5","375.5","381","23241","205208"
"zch08","2007-10-23T00:00:00-05:00","2007-10-23","381","385","376.25","377.75","20387","209066"
"zch08","2007-10-24T00:00:00-05:00","2007-10-24","376.75","379","372.5","373.5","23283","210603"
"zch08","2007-10-25T00:00:00-05:00","2007-10-25","373","384","373","383","20704","213280"
"zch08","2007-10-26T00:00:00-05:00","2007-10-26","382.5","391","381.75","388.75","36991","217874"
"zch08","2007-10-29T00:00:00-05:00","2007-10-29","388.25","396","387.75","393","32328","226351"
"zch08","2007-10-30T00:00:00-05:00","2007-10-30","392.5","392.5","385.75","387.5","35793","232582"
"zch08","2007-10-31T00:00:00-05:00","2007-10-31","387","396.75","385","392.75","31834","244370"
"zch08","2007-11-01T00:00:00-05:00","2007-11-01","392.25","396.25","383.5","386","42252","255623"
"zch08","2007-11-02T00:00:00-05:00","2007-11-02","385.75","397.5","385.75","394.5","53837","267308"
"zch08","2007-11-05T00:00:00-06:00","2007-11-05","392.5","394.75","389","392.5","39988","279647"
"zch08","2007-11-06T00:00:00-06:00","2007-11-06","392","404.75","391.5","403","62074","294345"
"zch08","2007-11-07T00:00:00-06:00","2007-11-07","402","409.75","399.25","401.25","114698","327896"
"zch08","2007-11-08T00:00:00-06:00","2007-11-08","400.75","407","399.5","406.25","70230","339578"
"zch08","2007-11-09T00:00:00-06:00","2007-11-09","405.25","406","397.25","404","103515","358726"
"zch08","2007-11-12T00:00:00-06:00","2007-11-12","402.75","402.75","394.5","396","71722","381835"
"zch08","2007-11-13T00:00:00-06:00","2007-11-13","395","399","391","392","59684","404234"
"zch08","2007-11-14T00:00:00-06:00","2007-11-14","391","401.75","390.75","400","42527","411544"
"zch08","2007-11-15T00:00:00-06:00","2007-11-15","399.25","400.5","391.25","391.75","99093","427850"
"zch08","2007-11-16T00:00:00-06:00","2007-11-16","391.75","398.25","391","396.5","59227","436725"
"zch08","2007-11-19T00:00:00-06:00","2007-11-19","395.75","401.75","393.25","394.5","49915","446161"
"zch08","2007-11-20T00:00:00-06:00","2007-11-20","394","403","391","398.25","89220","466052"
"zch08","2007-11-21T00:00:00-06:00","2007-11-21","398","400","394.25","398.75","46160","471998"
"zch08","2007-11-23T00:00:00-06:00","2007-11-23","398","406.75","398","405.75","58513","486828"
"zch08","2007-11-26T00:00:00-06:00","2007-11-26","405.75","411","399.25","403.25","101136","502539"
"zch08","2007-11-27T00:00:00-06:00","2007-11-27","402.25","403.5","398.5","400.75","79832","511693"
"zch08","2007-11-28T00:00:00-06:00","2007-11-28","400.5","405","397","404.5","92379","518889"
"zch08","2007-11-29T00:00:00-06:00","2007-11-29","404","407.25","399.5","400.75","122563","541580"
"zch08","2007-11-30T00:00:00-06:00","2007-11-30","400.25","405","395.5","401.5","132996","539455"
"zch08","2007-12-03T00:00:00-06:00","2007-12-03","401","410","399.75","403.5","134121","546482"
"zch08","2007-12-04T00:00:00-06:00","2007-12-04","403.5","414","403.5","411.25","133456","557621"
"zch08","2007-12-05T00:00:00-06:00","2007-12-05","410.25","413.25","408.25","411.25","91672","555154"
"zch08","2007-12-06T00:00:00-06:00","2007-12-06","409.5","413","408","412","68797","559247"
"zch08","2007-12-07T00:00:00-06:00","2007-12-07","412","418","411.5","417.25","98685","566181"
"zch08","2007-12-10T00:00:00-06:00","2007-12-10","415.75","419.75","414.5","417.75","88187","571747"
"zch08","2007-12-11T00:00:00-06:00","2007-12-11","416.75","425","415.5","424","129463","579177"
"zch08","2007-12-12T00:00:00-06:00","2007-12-12","421.75","433.75","419.5","433.25","117098","588595"
"zch08","2007-12-13T00:00:00-06:00","2007-12-13","432.25","438.75","428.75","435","136078","592919"
"zch08","2007-12-14T00:00:00-06:00","2007-12-14","434.25","440","433","438.25","97136","592557"
"zch08","2007-12-17T00:00:00-06:00","2007-12-17","437.75","443.25","431.5","438.75","111030","592390"
"zch08","2007-12-18T00:00:00-06:00","2007-12-18","438","438.5","431.25","432","86405","589499"
"zch08","2007-12-19T00:00:00-06:00","2007-12-19","430.5","436.5","430.25","434.75","81811","590164"
"zch08","2007-12-20T00:00:00-06:00","2007-12-20","434.25","438","431.75","437.5","64576","589246"
"zch08","2007-12-21T00:00:00-06:00","2007-12-21","437","447.75","436.5","443.5","88032","583096"
"zch08","2007-12-24T00:00:00-06:00","2007-12-24","442.75","444.5","440.25","444","23607","593731"
"zch08","2007-12-26T00:00:00-06:00","2007-12-26","446.75","455","446.75","452.25","63151","597713"
"zch08","2007-12-27T00:00:00-06:00","2007-12-27","451.75","455","450.5","454.75","67658","600284"
"zch08","2007-12-28T00:00:00-06:00","2007-12-28","453.5","457","451.75","452","63172","597895"
"zch08","2007-12-31T00:00:00-06:00","2007-12-31","450","457","447.75","455.5","59952","602039"
"zch08","2008-01-02T00:00:00-06:00","2008-01-02","456.25","469.5","456","462.5","113299","608525"
"zch08","2008-01-03T00:00:00-06:00","2008-01-03","462.5","469","460.75","466","97102","603837"
"zch08","2008-01-04T00:00:00-06:00","2008-01-04","466","469","459","466.75","96418","595993"
"zch08","2008-01-07T00:00:00-06:00","2008-01-07","466","468.5","462","466.25","83976","594991"
"zch08","2008-01-08T00:00:00-06:00","2008-01-08","465.5","480","465.5","478.75","107648","597402"
"zch08","2008-01-09T00:00:00-06:00","2008-01-09","477.75","482","475.5","477.25","100357","594975"
"zch08","2008-01-10T00:00:00-06:00","2008-01-10","476.25","478.25","471","475","116787","595169"
"zch08","2008-01-11T00:00:00-06:00","2008-01-11","474","495","473.5","495","40369","592246"
"zch08","2008-01-14T00:00:00-06:00","2008-01-14","505","515","503","512","123023","587342"
"zch08","2008-01-15T00:00:00-06:00","2008-01-15","510.25","519.25","505","509","141163","584846"
"zch08","2008-01-16T00:00:00-06:00","2008-01-16","507.25","509","496","502.5","131506","577285"
"zch08","2008-01-17T00:00:00-06:00","2008-01-17","502.5","513.75","500.25","502","99659","576515"
"zch08","2008-01-18T00:00:00-06:00","2008-01-18","500.75","502.5","494.75","498.25","99913","573049"
"zch08","2008-01-22T00:00:00-06:00","2008-01-22","491.5","498.5","478.25","489","162746","575829"
"zch08","2008-01-23T00:00:00-06:00","2008-01-23","487.75","493.75","469","469.25","188990","561893"
"zch08","2008-01-24T00:00:00-06:00","2008-01-24","474.25","489.25","473.25","489.25","132963","559746"
"zch08","2008-01-25T00:00:00-06:00","2008-01-25","491.25","504.5","491.25","498.25","144368","543764"
"zch08","2008-01-28T00:00:00-06:00","2008-01-28","496.75","503.75","490","502.25","110018","544507"
"zch08","2008-01-29T00:00:00-06:00","2008-01-29","503.25","507.5","497","501","111064","539784"
"zch08","2008-01-30T00:00:00-06:00","2008-01-30","501.5","502.5","494.25","498.5","108647","528765"
"zch08","2008-01-31T00:00:00-06:00","2008-01-31","497.75","505.25","492","501.25","129269","518449"
"zch08","2008-02-01T00:00:00-06:00","2008-02-01","503","509.75","499.25","500.5","152665","506719"
"zch08","2008-02-04T00:00:00-06:00","2008-02-04","501.25","511","501.25","510.5","113705","492288"
"zch08","2008-02-05T00:00:00-06:00","2008-02-05","510","512","505","509.25","134604","486705"
"zch08","2008-02-06T00:00:00-06:00","2008-02-06","510","528.75","500","501.5","208045","481290"
