symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"zsu10","2010-04-12T00:00:00-05:00","2010-04-12","947.75","949","938.5","943.75","3387","10297"
"zsu10","2010-04-13T00:00:00-05:00","2010-04-13","942","952.75","939.75","950","2759","10710"
"zsu10","2010-04-14T00:00:00-05:00","2010-04-14","951.75","957","947.75","954","2140","11388"
"zsu10","2010-04-15T00:00:00-05:00","2010-04-15","953.25","970.25","949.25","969.5","2776","11139"
"zsu10","2010-04-16T00:00:00-05:00","2010-04-16","966","975.75","965.75","973.25","838","10980"
"zsu10","2010-04-19T00:00:00-05:00","2010-04-19","969.5","973.75","959.5","964.25","1035","10943"
"zsu10","2010-04-20T00:00:00-05:00","2010-04-20","968.25","974.5","967.25","972.25","1609","11255"
"zsu10","2010-04-21T00:00:00-05:00","2010-04-21","972.75","995.75","972.75","986","1550","10422"
"zsu10","2010-04-22T00:00:00-05:00","2010-04-22","984.5","996.5","982","996.5","2703","10348"
"zsu10","2010-04-23T00:00:00-05:00","2010-04-23","993.5","997","986.75","990.25","822","10619"
"zsu10","2010-04-26T00:00:00-05:00","2010-04-26","989","998","986.25","989.5","1740","10754"
"zsu10","2010-04-27T00:00:00-05:00","2010-04-27","987","990","970.25","972.75","1071","11133"
"zsu10","2010-04-28T00:00:00-05:00","2010-04-28","970","984.25","968.75","976","1563","11085"
"zsu10","2010-04-29T00:00:00-05:00","2010-04-29","975.5","988","975.5","979.5","1026","11129"
"zsu10","2010-04-30T00:00:00-05:00","2010-04-30","978.25","985.5","978.25","983.75","832","11315"
"zsu10","2010-05-03T00:00:00-05:00","2010-05-03","986.5","987","971","972.5","1223","11595"
"zsu10","2010-05-04T00:00:00-05:00","2010-05-04","971","973.25","960.25","970","2293","12254"
"zsu10","2010-05-05T00:00:00-05:00","2010-05-05","972.25","974","959.25","961.5","1245","12162"
"zsu10","2010-05-06T00:00:00-05:00","2010-05-06","965.25","965.25","932","935","1628","12290"
"zsu10","2010-05-07T00:00:00-05:00","2010-05-07","933.5","946","929","941.75","1311","12277"
"zsu10","2010-05-10T00:00:00-05:00","2010-05-10","942.5","950","941.5","942.75","447","12430"
"zsu10","2010-05-11T00:00:00-05:00","2010-05-11","944.25","948.25","936","946","1639","12864"
"zsu10","2010-05-12T00:00:00-05:00","2010-05-12","946","954","936.75","944.25","2446","12996"
"zsu10","2010-05-13T00:00:00-05:00","2010-05-13","944.25","946.75","939","942","1087","13118"
"zsu10","2010-05-14T00:00:00-05:00","2010-05-14","940.25","941","927.75","931.5","1432","13191"
"zsu10","2010-05-17T00:00:00-05:00","2010-05-17","931.5","931.5","918","920.75","1412","13400"
"zsu10","2010-05-18T00:00:00-05:00","2010-05-18","924","928","917","918","1116","13266"
"zsu10","2010-05-19T00:00:00-05:00","2010-05-19","916.25","923","910.25","912.5","1881","13327"
"zsu10","2010-05-20T00:00:00-05:00","2010-05-20","917.5","921.25","904","917","3462","12897"
"zsu10","2010-05-21T00:00:00-05:00","2010-05-21","915","924","915","915.25","877","12877"
"zsu10","2010-05-24T00:00:00-05:00","2010-05-24","918.5","928.5","918.5","922.75","2302","12906"
"zsu10","2010-05-25T00:00:00-05:00","2010-05-25","920","920","908","909.5","2073","12983"
"zsu10","2010-05-26T00:00:00-05:00","2010-05-26","914.5","918.75","912.5","916.5","1991","12470"
"zsu10","2010-05-27T00:00:00-05:00","2010-05-27","913.75","929.25","913.75","926.25","1706","12336"
"zsu10","2010-05-28T00:00:00-05:00","2010-05-28","928.25","930.25","912.25","914.75","1904","12629"
"zsu10","2010-06-01T00:00:00-05:00","2010-06-01","918.5","918.75","907.5","908.5","2094","12282"
"zsu10","2010-06-02T00:00:00-05:00","2010-06-02","908.5","913.5","907","909","2282","11792"
"zsu10","2010-06-03T00:00:00-05:00","2010-06-03","912.5","927","911","925.75","4925","12127"
"zsu10","2010-06-04T00:00:00-05:00","2010-06-04","925.5","926.5","903.5","905.75","2141","12126"
"zsu10","2010-06-07T00:00:00-05:00","2010-06-07","902","906.75","900","904.25","2864","12120"
"zsu10","2010-06-08T00:00:00-05:00","2010-06-08","900","905.75","893","898.25","4430","11416"
"zsu10","2010-06-09T00:00:00-05:00","2010-06-09","894.75","910.25","893.25","903.25","5702","11906"
"zsu10","2010-06-10T00:00:00-05:00","2010-06-10","902.5","912.5","896.75","899.75","3744","12442"
"zsu10","2010-06-11T00:00:00-05:00","2010-06-11","900","913.75","897.25","910.75","2714","12211"
"zsu10","2010-06-14T00:00:00-05:00","2010-06-14","912.5","925.75","912","920.25","4838","12804"
"zsu10","2010-06-15T00:00:00-05:00","2010-06-15","918.5","931","918","920","2750","12323"
"zsu10","2010-06-16T00:00:00-05:00","2010-06-16","920","932","920","930","2670","12683"
"zsu10","2010-06-17T00:00:00-05:00","2010-06-17","931","936.75","925","931.25","3363","13477"
"zsu10","2010-06-18T00:00:00-05:00","2010-06-18","933.75","940.5","932","937.75","4516","14354"
"zsu10","2010-06-21T00:00:00-05:00","2010-06-21","943","952.25","940.5","944","4183","14299"
"zsu10","2010-06-22T00:00:00-05:00","2010-06-22","942","948.5","940.5","942.5","3681","14041"
"zsu10","2010-06-23T00:00:00-05:00","2010-06-23","940","941","929","930","5521","14555"
"zsu10","2010-06-24T00:00:00-05:00","2010-06-24","929","934.75","920","920.25","4480","14565"
"zsu10","2010-06-25T00:00:00-05:00","2010-06-25","921.25","928","920.5","921","2915","15025"
"zsu10","2010-06-28T00:00:00-05:00","2010-06-28","920.5","931.75","917.25","926.5","5540","14277"
"zsu10","2010-06-29T00:00:00-05:00","2010-06-29","928.5","931","915.25","919","4503","14450"
"zsu10","2010-06-30T00:00:00-05:00","2010-06-30","918","935.75","907.75","912","6153","15512"
"zsu10","2010-07-01T00:00:00-05:00","2010-07-01","913.5","918","904.75","915.5","4741","15567"
"zsu10","2010-07-02T00:00:00-05:00","2010-07-02","913.75","922.25","912.75","916.25","5555","15943"
"zsu10","2010-07-06T00:00:00-05:00","2010-07-06","915.5","929.25","910.25","912.5","5442","16376"
"zsu10","2010-07-07T00:00:00-05:00","2010-07-07","913","947","913","941","5797","16364"
"zsu10","2010-07-08T00:00:00-05:00","2010-07-08","941","966","938.25","957.5","8889","17771"
"zsu10","2010-07-09T00:00:00-05:00","2010-07-09","954.25","971.25","951.5","966.5","6297","18497"
"zsu10","2010-07-12T00:00:00-05:00","2010-07-12","963","976.5","959.25","966.5","10777","19013"
"zsu10","2010-07-13T00:00:00-05:00","2010-07-13","966","974.75","960.75","967","7087","19666"
"zsu10","2010-07-14T00:00:00-05:00","2010-07-14","966.25","979.5","964.25","975.25","9885","19975"
"zsu10","2010-07-15T00:00:00-05:00","2010-07-15","974.25","1001.75","972.25","1001","12210","19507"
"zsu10","2010-07-16T00:00:00-05:00","2010-07-16","1000","1006.25","992.75","998","7551","20392"
"zsu10","2010-07-19T00:00:00-05:00","2010-07-19","987","1000","975.25","986.25","11331","21902"
"zsu10","2010-07-20T00:00:00-05:00","2010-07-20","985","990.5","977","986.75","8062","22635"
"zsu10","2010-07-21T00:00:00-05:00","2010-07-21","987","995.75","983.75","990.5","7000","23848"
"zsu10","2010-07-22T00:00:00-05:00","2010-07-22","988.5","1002.5","983.75","990.5","10570","24264"
"zsu10","2010-07-23T00:00:00-05:00","2010-07-23","990.25","996.5","986.5","991","8802","24336"
"zsu10","2010-07-26T00:00:00-05:00","2010-07-26","987","990.5","970","974.75","9385","25105"
"zsu10","2010-07-27T00:00:00-05:00","2010-07-27","971.5","981","970.25","973","11727","25235"
"zsu10","2010-07-28T00:00:00-05:00","2010-07-28","973","987.75","972.5","985","15402","24746"
